County, School District, Total Students, Free Eligible, RP Eligible, Paid Eligible, Total Free Breakfasts, Total RP Breakfasts, Total Paid Breakfasts, Total Free Lunches, Total RP Lunches, Total Paid Lunches, FRPM Eligible Percentage, FRPM Breakfast %, FRPM Lunch %, Total Breakfast Reimbursement, Total Lunch Reimbursement, Total Reimbursement, Lost FRPM Dollars, Lost Meals, FRPM Breakfast/Lunch
San Mateo,San Bruno Park Elementary,2669,714,207,1748,45187,9321,11559,89546,24913,92339,34,35,73,124130.8968,409556.5389,533687.4357,154663.5121,140731,47
San Mateo,Woodside Elementary,400,29,15,356,0,0,0,4082,1643,11556,11,0,77,0.0,22546.3675,22546.3675,15837.4875,17281,0
Santa Clara,East Side Union High,27049,10470,3133,13446,456482,135017,42387,635751,189927,76738,50,26,36,1312774.5129,2761752.8738,4074527.3867,524396.0009,268530,71
San Mateo,Redwood City Elementary,8987,4084,1063,3840,347641,74538,87602,548138,124595,152720,57,49,78,960165.1909,2291101.0043,3251266.1952,571898.0934,315672,62
Santa Clara,Berryessa Union Elementary,7296,1701,657,4938,48679,9047,25946,203068,71842,254369,32,14,70,135680.8546,989307.141,1124987.9956,539782.0164,445607,20
Santa Clara,Rocketship Education,5484,3757,702,1025,619411,145870,179339,502867,111155,95339,81,108,87,1743215.8651,2078080.8362,3821296.7013,0,0,124
Santa Clara,San Jose Unified,32004,11675,2669,17660,680207,110143,94787,1271126,245113,522625,44,33,64,1786247.815,5235172.6969,7021420.5119,1729244.9719,1153727,52
Santa Clara,Orchard Elementary,894,312,112,470,16934,4961,7032,36105,13456,26664,47,31,70,50189.1345,172009.3631,222198.4976,65866.3686,47298,44
San Mateo,Pacifica,3150,399,183,2568,13566,4183,15624,46925,20371,132146,18,17,65,43514.8179,263422.5216,306937.3395,141262.9837,166069,26
Santa Clara,Santa Clara County Office of Education,11383,5215,998,5170,16802,2417,25476,28678,3996,27683,54,1,3,50234.3349,118583.7454,168818.0803,30670.1605,15662,58
Santa Clara,Alpha Public Schools Inc,1599,961,222,416,29894,4986,1789,98098,14660,6928,73,18,59,78099.458,380530.7418,458630.1998,175145.3238,83017,30
Santa Clara,ACE Charter School,1127,904,133,90,17749,2280,1159,41128,6377,3251,92,11,27,45059.8559,160343.8055,205403.6614,61668.4196,29568,42
San Mateo,San Mateo Union High,9104,1302,344,7458,84944,14084,29735,112151,24470,100384,18,34,47,228904.3288,487816.2891,716720.6179,102599.5003,108242,72
Santa Clara,Mount Pleasant Elementary,2371,1455,326,590,128433,23809,33108,190016,41996,58284,75,52,79,347606.4582,792340.5652,1139947.0234,182691.507,104946,65
San Mateo,Cabrillo Unified,3279,1046,245,1988,75123,6807,11288,119845,15023,12527,39,38,62,186974.923,457508.2028,644483.1258,117910.2498,54177,60
Santa Clara,Franklin-McKinley Elementary,10735,6576,1497,2662,400116,67853,76568,819487,163796,189577,75,36,75,1062781.3399,3345289.7493,4408071.0892,1172258.0794,628323,47
San Mateo,Ravenswood City Elementary,3853,3110,318,425,354537,27953,54677,362157,30457,54038,88,68,70,874613.509,1342784.5194,2217398.0284,22015.6104,9485,97
Santa Clara,Alum Rock Union Elementary,11624,8089,1821,1714,619246,125601,159556,1084773,230446,263095,85,45,80,1697233.5737,4473094.6549,6170328.2286,1291663.1712,673911,56
Santa Clara,Moreland,4780,1095,280,3405,94026,21658,47567,133203,34881,135362,28,51,74,269564.2264,602042.4364,871606.6628,140289.69,140195,68
San Mateo,Jefferson Union High,4862,1263,441,3158,55344,10927,20194,78881,19770,40966,35,23,34,152821.1441,341314.9421,494136.0862,76779.678,53152,67
San Mateo,South San Francisco Unified,8879,2538,665,5676,91891,16858,22118,286769,78006,205090,36,20,68,247901.6779,1277251.3025,1525152.9804,615154.0246,438998,29
Santa Clara,Fremont Union High,10869,929,313,9627,62184,13534,62753,77971,21233,154257,11,36,47,185798.4478,378866.9884,564665.4362,77471.5706,114990,76
San Mateo,Summit Public Schools,1257,364,177,716,36588,15493,19778,49903,23696,33174,43,58,82,119160.5551,251896.4329,371056.988,50207.3978,34914,70
Santa Clara,Campbell Union,7465,2523,578,4364,79975,22481,17680,308734,73492,172534,41,20,74,230660.8976,1328096.2846,1558757.1822,663870.927,434624,26
San Mateo,Millbrae Elementary,2432,382,113,1937,24456,6778,33700,40304,13902,112814,20,37,64,78550.2014,215224.9426,293775.144,72885.6812,102086,57
Santa Clara,Mountain View Whisman ,5125,1432,327,3366,154343,22162,32471,189157,37583,109967,34,60,77,402922.4755,792682.094,1195604.5695,131735.3085,127731,77
Santa Clara,Saratoga Union Elementary,1906,22,0,1884,474,57,10733,2062,108,67251,1,14,60,4299.3001,28870.527,33169.8271,20090.6969,58157,24
Santa Clara,Luther Burbank,520,365,87,68,59733,14825,12928,59172,14725,12808,86,102,101,168332.0618,249983.0287,418315.0905,0,0,100
San Mateo,Burlingame Elementary,3410,311,57,3042,0,0,0,35626,7382,105949,10,0,69,0.0,177483.4368,177483.4368,126014.0468,148957,0
Santa Clara,Gilroy Unified,11959,5460,1173,5326,393399,63799,115907,647281,122326,257689,55,42,71,1050986.9158,2655658.0897,3706645.0055,731821.1239,454191,59
San Mateo,Jefferson Elementary,7039,2666,1012,3361,81670,18399,14164,309447,107578,178939,52,16,69,225454.2899,1435075.1575,1660529.4474,739601.9976,481731,23
San Mateo,San Mateo-Foster City,11970,3140,407,8423,164154,23543,47021,317568,45074,227928,29,32,61,432101.0587,1290464.9182,1722565.9769,442621.5395,355852,51
San Mateo,Menlo Park City Elementary,2999,171,40,2788,0,0,0,21536,7397,80116,7,0,82,0.0,121255.9443,121255.9443,86608.5443,109049,0
San Mateo,Bayshore Elementary,368,186,51,131,6967,1742,2205,20663,5022,6486,64,22,66,19861.0239,87578.0835,107439.1074,38743.7796,21257,33
Santa Clara,Oak Grove Elementary,10362,3335,854,6173,204284,38778,66180,437430,101296,312376,40,35,78,558604.6602,1894935.2746,2453539.9348,722941.2944,541860,45
Santa Clara,Sunnyvale,6536,1555,450,4531,125427,28800,41294,219687,60483,138276,30,46,84,352983.2917,974622.327,1327605.6187,304145.2553,222925,55
Santa Clara,Santa Clara Unified,15409,4220,1289,9900,240710,70816,81805,550856,171268,562921,35,34,79,708739.2446,2571976.2004,3280715.445,1040254.7658,891714,43
Santa Clara,Milpitas Unified,10260,2567,736,6957,151006,35402,110077,308179,88638,399801,32,33,72,443907.3068,1444476.3207,1888383.6275,545067.4039,500133,46
