County, School District Name, Total Enrollment, Free Eligible, Reduced Price Eligible, Paid Eligible
San Mateo,San Bruno Park Elementary,2669,714,207,1748
Santa Clara,East Side Union High,27049,10470,3133,13446
San Mateo,Redwood City Elementary,8987,4084,1063,3840
Santa Clara,Berryessa Union Elementary,7296,1701,657,4938
Santa Clara,San Jose Unified,32004,11675,2669,17660
Santa Clara,Orchard Elementary,894,312,112,470
San Mateo,Pacifica,3150,399,183,2568
Santa Clara,Luther Burbank,520,365,87,68
Santa Clara,Alpha Public Schools Inc,1599,961,222,416
Santa Clara,ACE Charter School,1127,904,133,90
San Mateo,San Mateo Union High,9104,1302,344,7458
Santa Clara,Mount Pleasant Elementary,2371,1455,326,590
Santa Clara,Evergreen Elementary,11794,2734,662,8398
San Mateo,Cabrillo Unified,3279,1046,245,1988
Santa Clara,Fremont Union High,10869,929,313,9627
Santa Clara,Saratoga Union Elementary,1906,22,0,1884
San Mateo,Ravenswood City Elementary,3853,3110,318,425
Santa Clara,Alum Rock Union Elementary,11624,8089,1821,1714
Santa Clara,Moreland,4780,1095,280,3405
San Mateo,Jefferson Union High,4862,1263,441,3158
Santa Clara,Mountain View Whisman ,5125,1432,327,3366
San Mateo,South San Francisco Unified,8879,2538,665,5676
Santa Clara,Franklin-McKinley Elementary,10735,6576,1497,2662
San Mateo,Summit Public Schools,1257,364,177,716
Santa Clara,Campbell Union,7465,2523,578,4364
San Mateo,Millbrae Elementary,2432,382,113,1937
Santa Clara,Cambrian,3514,410,128,2976
Santa Clara,Rocketship Education,5484,3757,702,1025
Santa Clara,Santa Clara County Office of Education,11383,5215,998,5170
San Mateo,Burlingame Elementary,3410,311,57,3042
Santa Clara,Gilroy Unified,11959,5460,1173,5326
San Mateo,San Mateo-Foster City,11970,3140,407,8423
San Mateo,Jefferson Elementary,7039,2666,1012,3361
San Mateo,Menlo Park City Elementary,2999,171,40,2788
San Mateo,Bayshore Elementary,368,186,51,131
Santa Clara,Oak Grove Elementary,10362,3335,854,6173
Santa Clara,Sunnyvale,6536,1555,450,4531
Santa Clara,Santa Clara Unified,15409,4220,1289,9900
Santa Clara,Milpitas Unified,10260,2567,736,6957
Santa Clara,Campbell Union High,7810,1242,232,6336
Santa Clara,Los Gatos Union Elementary,3263,66,8,3189
San Mateo,Brisbane Elementary,464,96,15,353
San Mateo,Belmont-Redwood Shores Elementary,4230,202,66,3962
San Mateo,Sequoia Union High,9911,2694,546,6671
Santa Clara,Palo Alto Unified,12287,898,278,11111
Santa Clara,Mountain View-Los Altos Union High,4101,530,109,3462
Santa Clara,Morgan Hill Unified,9137,2883,454,5800
Santa Clara,Union Elementary,5751,470,84,5197
Santa Clara,Cupertino Union,18598,622,168,17808
San Mateo,San Mateo County Office of Education,293,134,8,151
San Mateo,Portola Valley Elementary,627,32,21,574
San Mateo,La Honda-Pescadero Unified,318,130,38,150
San Mateo,Woodside Elementary,400,29,15,356
San Mateo,San Carlos Elementary,3516,143,26,3347
