CountyDesc,FnsReportDate,ProgramCode,ProgramGroupCode,Name,SiteName,MealTypeCode,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,ProgramGroupYear
SANTA CLARA,Jun 2018,NSLP,NSLP,SANTA CLARA CO PROBATION,JAMES BOYS RANCH,NSLP_BREAKFAST_SEVERENEED,1464,,,1464,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,SANTA CLARA CO PROBATION,JAMES BOYS RANCH,NSLP_LUNCH,1332,,,1332,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,SANTA CLARA CO PROBATION,JUVENILE HALL,NSLP_BREAKFAST_SEVERENEED,3267,,,3267,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,SANTA CLARA CO PROBATION,JUVENILE HALL,NSLP_LUNCH,3243,,,3243,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,BOYNTON HIGH,NSLP_BREAKFAST_SEVERENEED,69,10,8,87,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,BOYNTON HIGH,NSLP_LUNCH,70,8,10,88,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,BRANHAM HIGH,NSLP_BREAKFAST_SEVERENEED,194,38,132,364,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,BRANHAM HIGH,NSLP_LUNCH,153,26,152,331,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,DEL MAR HIGH,NSLP_BREAKFAST_SEVERENEED,337,92,129,558,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,DEL MAR HIGH,NSLP_LUNCH,327,74,100,501,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,Leigh High                                                      ,NSLP_BREAKFAST_SEVERENEED,68,3,57,128,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,Leigh High                                                      ,NSLP_LUNCH,77,4,135,216,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,Prospect High                                                   ,NSLP_BREAKFAST_SEVERENEED,329,34,49,412,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,Prospect High                                                   ,NSLP_LUNCH,265,32,116,413,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,Westmont High                                                   ,NSLP_BREAKFAST_SEVERENEED,295,54,133,482,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,Campbell Union High School District,Westmont High                                                   ,NSLP_LUNCH,239,45,190,474,2018
SAN MATEO,Jun 2018,NSLP,NSLP,ALL SOULS CHURCH SCHOOL,All Souls Catholic Elementary                                   ,NSLP_LUNCH,19,5,135,159,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - HILLSDALE,NSLP_BREAKFAST_SEVERENEED,173,0,0,173,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - HILLSDALE,NSLP_LUNCH,137,0,0,137,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - HILLSDALE,NSLP_SNACK_AREAELIGIBLE,36,0,0,36,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - KOOSER,NSLP_BREAKFAST_SEVERENEED,90,0,0,90,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - KOOSER,NSLP_LUNCH,70,0,0,70,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - KOOSER,NSLP_SNACK_AREAELIGIBLE,15,0,0,15,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - HILLSDALE II,NSLP_BREAKFAST_SEVERENEED,120,0,0,120,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,"EE S Residential Group Home, Inc.",EE'S - HILLSDALE II,NSLP_LUNCH,120,0,0,120,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,BING NURSERY SCHOOL,BING NURSERY SCHOOL,NSLP_MILK,0,,980,980,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,Evergreen Valley High                                           ,NSLP_BREAKFAST_SEVERENEED,326,25,102,453,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,Evergreen Valley High                                           ,NSLP_LUNCH,541,69,203,813,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,San Jose Conservation Corps Charter,NSLP_BREAKFAST_SEVERENEED,33,13,12,58,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,San Jose Conservation Corps Charter,NSLP_LUNCH,60,25,27,112,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,San Jose Conservation Corps Charter-Senter-ANNEX,NSLP_BREAKFAST_SEVERENEED,30,10,0,40,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,San Jose Conservation Corps Charter-Senter-ANNEX,NSLP_LUNCH,91,28,0,119,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,Andrew P. Hill High                                             ,NSLP_BREAKFAST_SEVERENEED,126,70,48,244,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,Andrew P. Hill High                                             ,NSLP_LUNCH,134,71,64,269,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,Independence High                                               ,NSLP_BREAKFAST_SEVERENEED,624,139,25,788,2018
SANTA CLARA,Jun 2018,NSLP,NSLP,East Side Union High School District,Independence High                                               ,NSLP_LUNCH,881,369,60,1310,2018
