County, School District, Free Breakfasts, RP Breakfasts, Paid Breakfasts, Free Lunches, RP Lunches, Paid Lunches
Santa Clara,Rengstorff Park & Receration Department,0,0,0,0,0,0
Santa Clara,Marian A. Peterson Middle                                       ,0,0,0,0,0,0
San Mateo,COLLEGE PARK ELEMENTARY,0,0,0,0,0,0
San Mateo,Bayside ACADEMY                                                 ,0,0,0,0,0,0
Santa Clara,Juan Cabrillo Middle                                            ,0,0,0,0,0,0
Santa Clara,William C. Overfelt High                                        ,0,0,0,0,0,0
Santa Clara,VALLEY PALMS APARTMENTS,0,0,0,0,0,0
San Mateo,GARFIELD ELEMENTARY,0,0,0,0,0,0
Santa Clara,Cristo Rey San Jose Jesuit High School,0,0,0,0,0,0
San Mateo,Oxford Day Academy,0,0,0,0,0,0
Santa Clara,Selma Olinder Elementary                                        ,0,0,0,0,0,0
Santa Clara,INTERN TO EARN,0,0,0,0,0,0
Santa Clara,Captain Jason M. Dahl Elementary                                ,0,0,0,0,0,0
Santa Clara,Yerba Buena High                                                ,0,0,0,0,0,0
Santa Clara,WASHINGTON ELEMENTARY,0,0,0,0,0,0
San Mateo,SUNSHINE GARDENS ELEMENTARY,0,0,0,0,0,0
Santa Clara,DEL MAR HIGH,0,0,0,0,0,0
Santa Clara,Stipe (Samuel) Elementary                                       ,0,0,0,0,0,0
Santa Clara,EDENVALE ELEMENTARY,0,0,0,0,0,0
San Mateo,SPRUCE ELEMENTARY,0,0,0,0,0,0
Santa Clara,ALMADEN ELEMENTARY,0,0,0,0,0,0
Santa Clara,SCOTT LANE ELEMENTARY,0,0,0,0,0,0
Santa Clara,Bridges Academy                                                 ,0,0,0,0,0,0
San Mateo,ROOSEVELT ELEMENTARY,0,0,0,0,0,0
San Mateo,FAIR OAKS ELEMENTARY,0,0,0,0,0,0
Santa Clara,LINDA VISTA ELEMENTARY,0,0,0,0,0,0
Santa Clara,San Jose High Academy Plus                                      ,0,0,0,0,0,0
Santa Clara,Castro Park,0,0,0,0,0,0
Santa Clara,LEE MATHSON MIDDLE,0,0,0,0,0,0
San Mateo,Thomas R. Pollicita Middle                                      ,0,0,0,0,0,0
Santa Clara,Robert F. Kennedy Elementary                                    ,0,0,0,0,0,0
Santa Clara,Mt. Pleasant Elementary                                         ,0,0,0,0,0,0
Santa Clara,GARDNER ELEMENTARY,0,0,0,0,0,0
San Mateo,John F. Kennedy Middle                                          ,0,0,0,0,0,0
Santa Clara,GEORGE MAYNE ELEMENTARY,0,0,0,0,0,0
Santa Clara,Columbia Middle                                                 ,0,0,0,0,0,0
Santa Clara,SHERMAN OAKS ELEMENTARY,0,0,0,0,0,0
Santa Clara,Mt. Pleasant High                                               ,0,0,0,0,0,0
San Mateo,Brentwood Open Site,0,0,0,0,0,0
Santa Clara,Antonio Del Buono Elementary                                    ,0,0,0,0,0,0
San Mateo,BELLE AIR ELEMENTARY,0,0,0,0,0,0
Santa Clara,Luther Burbank Elementary                                       ,0,0,0,0,0,0
Santa Clara,Liberty High (Alternative),0,0,0,0,0,0
Santa Clara,Clyde L. Fischer Middle                                         ,0,0,0,0,0,0
San Mateo,LEAD Elementary                                                 ,0,0,0,0,0,0
San Mateo,LOMITA PARK ELEMENTARY,0,0,0,0,0,0
Santa Clara,William Sheppard Middle                                         ,0,0,0,0,0,0
Santa Clara,Crittenden Middle                                               ,0,0,0,0,0,0
Santa Clara,DEL ROBLE ELEMENTARY,0,0,0,0,0,0
Santa Clara,Alexander Rose Elementary                                       ,0,0,0,0,0,0
San Mateo,Jefferson High                                                  ,0,0,0,0,0,0
Santa Clara,Milpitas Sports Center,0,0,0,0,0,0
San Mateo,Los Robles-Ronald McNair Academy                                ,0,0,0,0,0,0
San Mateo,HAWES ELEMENTARY,0,0,0,0,0,0
Santa Clara,LATINO COLLEGE PREPARATORY ACADEMY,0,0,0,0,0,0
San Mateo,JOHN GILL ELEMENTARY,0,0,0,0,0,0
Santa Clara,Rosemary                                                        ,0,0,0,0,0,0
Santa Clara,ELIOT ELEMENTARY,0,0,0,0,0,0
Santa Clara,ACE Empower Academy                                             ,0,0,0,0,0,0
Santa Clara,LYNDALE ELEMENTARY,0,0,0,0,0,0
Santa Clara,BOWERS ELEMENTARY,0,0,0,0,0,0
San Mateo,SELBY LANE ELEMENTARY,0,0,0,0,0,0
Santa Clara,GUNDERSON HIGH,0,0,0,0,0,0
Santa Clara,RITA CHAVEZ MEDINA,0,0,0,0,0,0
Santa Clara,South Valley Middle                                             ,0,0,0,0,0,0
Santa Clara,Foothill High                                                   ,0,0,0,0,0,0
Santa Clara,George C. Payne Elementary                                      ,0,0,0,0,0,0
Santa Clara,Learning in an Urban Community with High Achievement (L.U.C.H.A.,0,0,0,0,0,0
Santa Clara,LAKEWOOD ELEMENTARY,0,0,0,0,0,0
Santa Clara,Robert Randall Elementary                                       ,0,0,0,0,0,0
Santa Clara,G. W. Hellyer Elementary                                        ,0,0,0,0,0,0
Santa Clara,CASTLEMONT ELEMENTARY,0,0,0,0,0,0
San Mateo,BELLE HAVEN ELEMENTARY,0,0,0,0,0,0
Santa Clara,BROADWAY HIGH,0,0,0,0,0,0
San Mateo,HENRY FORD ELEMENTARY,0,0,0,0,0,0
San Mateo,WESTLAKE ELEMENTARY,0,0,0,0,0,0
Santa Clara,James Lick High                                                 ,0,0,0,0,0,0
Santa Clara,PIONEER HIGH,0,0,0,0,0,0
Santa Clara,DON DE DIOS,0,0,0,0,0,0
Santa Clara,Andrew P. Hill High                                             ,0,0,0,0,0,0
Santa Clara,A. J. Dorsa Elementary                                          ,0,0,0,0,0,0
Santa Clara,SILICON VALLEY MATH INSTITUTE AT CALAVARAS HILLS,0,0,0,0,0,0
Santa Clara,Silver Creek High                                               ,0,0,0,0,0,0
Santa Clara,Community Day,0,0,0,0,0,0
Santa Clara,Herbert Hoover Middle                                           ,0,0,0,0,0,0
Santa Clara,Independence High                                               ,0,0,0,0,0,0
Santa Clara,Boys & Girls Club,0,0,0,0,0,0
Santa Clara,Robert Sanders Elementary                                       ,0,0,0,0,0,0
Santa Clara,SANTA CLARA HIGH,0,0,0,0,0,0
San Mateo,HOOVER ELEMENTARY,0,0,0,0,0,0
Santa Clara,RAMBLEWOOD ELEMENTARY,0,0,0,0,0,0
Santa Clara,WELCH PARK,0,0,0,0,0,0
Santa Clara,Adrian Wilcox High                                              ,0,0,0,0,0,0
Santa Clara,SAN MIGUEL ELEMENTARY,0,0,0,0,0,0
Santa Clara,CANOAS ELEMENTARY,0,0,0,0,0,0
Santa Clara,Peter Burnett Middle                                            ,0,0,0,0,0,0
Santa Clara,Adelante Dual Language Academy,0,0,0,0,0,0
Santa Clara,Calero High,0,0,0,0,0,0
Santa Clara,Abraham Lincoln High                                            ,0,0,0,0,0,0
San Mateo,Parkway Heights Middle                                          ,0,0,0,0,0,0
Santa Clara,Oak Grove High                                                  ,0,0,0,0,0,0
Santa Clara,Maryce Freelen Place Apartments,0,0,0,0,0,0
San Mateo,TAFT ELEMENTARY,0,0,0,0,0,0
Santa Clara,SCHOOL OF ARTS & CULTURE,0,0,0,0,0,0
Santa Clara,August Boeger Middle                                            ,0,0,0,0,0,0
Santa Clara,POCO WAY APARTMENT,0,0,0,0,0,0
Santa Clara,AMIGOS DE GUADALUPE,0,0,0,0,0,0
