Ceres Unified,Stanislaus,28594,19267,3985
Mammoth Unified,Mono,2399,972,354
Vista Unified,San Diego,48821,24588,5048
Calexico Unified,Imperial,18290,13992,1215
Cinnabar Elementary,Sonoma,524,263,76
New Jerusalem Elementary,San Joaquin,8955,4251,1057
Warner Unified,San Diego,3368,842,189
Coffee Creek Elementary,Trinity,14,8,2
Pacifica,San Mateo,6272,796,363
Gratton Elementary,Stanislaus,269,39,0
Ducor Union Elementary,Tulare,335,225,34
Seiad Elementary,Siskiyou,38,28,0
Hayward Unified,Alameda,45410,25853,5217
Belleview Elementary,Tuolumne,293,130,32
Bonny Doon Union Elementary,Santa Cruz,324,72,12
Siskiyou Union High,Siskiyou,1084,370,45
Mount Pleasant Elementary,Santa Clara,4701,2893,647
Lucerne Valley Unified,San Bernardino,5229,1784,373
Feather Falls Union Elementary,Butte,154,72,2
Forestville Union Elementary,Sonoma,680,246,56
Princeton Joint Unified,Glenn,335,183,50
Dos Palos Oro Loma Joint Unified,Merced,4605,3328,693
Yosemite Unified,Madera,4341,1449,508
Saddleback Valley Unified,Orange,55001,11534,2781
Cascade Union Elementary,Shasta,2145,1511,235
Cutler-Orosi Joint Unified,Tulare,8148,6868,780
Caliente Union Elementary,Kern,102,68,4
Eureka Union,Placer,6731,546,212
Charter Oak Unified,Los Angeles,9710,4514,878
Palo Verde Unified,Riverside,6108,3878,619
Murrieta Valley Unified,Riverside,45486,10061,3639
SBE - Rocketship Futuro Academy,Contra Costa,247,179,38
Willow Creek Elementary,Siskiyou,77,50,6
Newark Unified,Alameda,11593,4313,1347
Oakley Union Elementary,Contra Costa,9972,3526,758
Central Union Elementary,Kings,3521,1144,717
Stanislaus Union Elementary,Stanislaus,6859,3824,653
Greenfield Union,Kern,18587,14242,1634
Tamalpais Union High,Marin,9221,534,107
Big Valley Joint Unified,Lassen,291,123,48
Monte Rio Union Elementary,Sonoma,179,77,30
Jurupa Unified,Riverside,38020,24271,4275
Stony Creek Joint Unified,Glenn,194,148,14
Lake Elsinore Unified,Riverside,43593,21181,6757
Earlimart Elementary,Tulare,3856,3254,287
Los Olivos Elementary,Santa Barbara,289,33,12
Beaumont Unified,Riverside,19756,9138,1920
Dinuba Unified,Tulare,13063,9282,884
Arcata Elementary,Humboldt,2111,842,192
Whittier Union High,Los Angeles,23831,12272,4010
Raymond-Knowles Union Elementary,Madera,165,70,33
Yucaipa-Calimesa Joint Unified,San Bernardino,19733,7734,1804
Hot Springs Elementary,Tulare,34,34,0
Glenn County Office of Education,Glenn,766,350,72
Marysville Joint Unified,Yuba,19723,13680,2093
Ravendale-Termo Elementary,Lassen,1292,539,263
