EE S Residential Group Home Inc.,SANTA CLARA,4471,0,0,2164,0,0
Belmont-Redwood Shores Elementary School District,SAN MATEO,0,0,0,27643,8794,102558
San Mateo-Foster City School District,SAN MATEO,168269,23543,47021,326812,45074,227928
ALL SOULS CHURCH SCHOOL,SAN MATEO,0,0,0,2213,1543,11289
Santa Clara Unified School District,SANTA CLARA,250036,70816,81805,572287,171268,562921
Berryessa Union Elementary School District,SANTA CLARA,48679,9047,25946,203068,71842,254369
Campbell Union High School District,SANTA CLARA,40478,5148,8482,88144,15146,25572
Palo Alto Unified School District,SANTA CLARA,29192,7637,29466,79009,27350,290478
Cabrillo Unified School District,SAN MATEO,75123,6807,11288,119845,15023,12527
Saratoga Union Elementary School District,SANTA CLARA,474,57,10733,2062,108,67251
ST PATRICK ELEM CATHOLIC,SANTA CLARA,0,0,0,17326,5205,5013
Ravenswood City Elementary School District,SAN MATEO,367202,27953,54677,377310,30457,54038
ACE Charter School,SANTA CLARA,18186,2280,1159,41629,6377,3251
Escuela Popular,SANTA CLARA,11493,3638,4546,28485,6122,7578
Woodside Elementary School District,SAN MATEO,0,0,0,4082,1643,11556
REBEKAH CHILDRENS SERVICES,SANTA CLARA,350,0,47,350,0,61
Millbrae Elementary School District,SAN MATEO,24456,6778,33700,40304,13902,112814
San Carlos Elementary School District,SAN MATEO,0,0,0,14445,3325,43699
Rocketship Education,SANTA CLARA,619411,145870,179339,502867,111155,95339
Brisbane Elementary School District,SAN MATEO,1503,12,314,11436,1942,13001
GILROY UNIFIED SCHOOL DISTRICT,SANTA CLARA,407973,63799,115907,672843,122326,257689
Mount Pleasant Elementary School District,SANTA CLARA,135418,23809,33108,202953,41996,58284
Mountain View-Los Altos Union High School District,SANTA CLARA,32914,4837,5219,43420,8255,38189
East Side Union High School District,SANTA CLARA,456482,135017,42387,703212,189927,76738
Voices College-Bound Language,SANTA CLARA,6311,1422,1913,48303,14496,17119
Fremont Union High School District,SANTA CLARA,62184,13534,62753,77971,21233,154257
Unity Care Group Inc.,SANTA CLARA,5302,0,0,3384,0,0
SANTA CLARA CO PROBATION,SANTA CLARA,39845,0,0,38719,0,0
