Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Yes,811,Directly funded,Y,9,12,403,236,58.60%,299,74.20%,381,221,58.00%,283,74.30%,Y
2016-2017,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2,Yes,1284,Directly funded,Y,K,8,208,110,52.90%,134,64.40%,199,104,52.30%,126,63.30%,Y
2016-2017,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,357,28,7.80%,33,9.20%,357,28,7.80%,33,9.20%,Y
2016-2017,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1383,Directly funded,Y,K,8,374,87,23.30%,102,27.30%,364,86,23.60%,100,27.50%,Y
2016-2017,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,K,12,99,99,100.00%,99,100.00%,96,96,100.00%,96,100.00%,Y
2016-2017,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,K,12,242,183,75.60%,197,81.40%,189,141,74.60%,151,79.90%,Y
2016-2017,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1707,Directly funded,Y,6,8,149,120,80.50%,142,95.30%,149,120,80.50%,142,95.30%,Y
2016-2017,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,740,Directly funded,Y,P,5,588,232,39.50%,232,39.50%,572,227,39.70%,227,39.70%,Y
2016-2017,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Yes,1464,Directly funded,Y,K,8,462,320,69.30%,387,83.80%,449,310,69.00%,377,84.00%,Y
2016-2017,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,No ,,,N,1,Adult,39,39,100.00%,39,100.00%,34,34,100.00%,34,100.00%,Y
