County, School District, Total Students, Free Eligible, RP Eligible, Paid Eligible, Total Free Breakfasts, Total RP Breakfasts, Total Paid Breakfasts, Total Free Lunches, Total RP Lunches, Total Paid Lunches, FRPM Eligible Percentage, FRPM Breakfast %, FRPM Lunch %, Total Breakfast Reimbursement, Total Lunch Reimbursement, Total Reimbursement, Lost FRPM Dollars, Lost Meals, FRPM Breakfast/Lunch
San Mateo,San Bruno Park Elementary,2669,714,207,1748,45187,9321,11559,89546,24913,92339,34,35,73,121405.4968,398331.8389,519737.3357,151665.9621,140731,47
San Mateo,Woodside Elementary,400,29,15,356,0,0,0,4082,1643,11556,11,0,77,0.0,21915.5575,21915.5575,15551.2375,17281,0
Santa Clara,East Side Union High,27049,10470,3133,13446,456482,135017,42387,635751,189927,76738,50,26,36,1283199.5629,2686674.4738,3969874.0367,512687.0509,268530,71
San Mateo,Redwood City Elementary,8987,4084,1063,3840,347641,74538,87602,548138,124595,152720,57,49,78,939056.2409,2229027.8343,3168084.0752,559370.3934,315672,62
Santa Clara,Berryessa Union Elementary,7296,1701,657,4938,48679,9047,25946,203068,71842,254369,32,14,70,132794.5546,962021.551,1094816.1056,528922.8164,445607,20
Santa Clara,Rocketship Education,5484,3757,702,1025,619411,145870,179339,502867,111155,95339,81,108,87,1704951.8151,2021865.4662,3726817.2813,0,0,124
Santa Clara,San Jose Unified,32004,11675,2669,17660,680207,110143,94787,1271126,245113,522625,44,33,64,1746730.315,5093484.9369,6840215.2519,1692950.5219,1153727,52
Santa Clara,Orchard Elementary,894,312,112,470,16934,4961,7032,36105,13456,26664,47,31,70,49094.3845,167282.2331,216376.6176,64483.0686,47298,44
San Mateo,Pacifica,3150,399,183,2568,13566,4183,15624,46925,20371,132146,18,17,65,42627.3679,256044.4216,298671.7895,138785.6337,166069,26
Santa Clara,Santa Clara County Office of Education,11383,5215,998,5170,16802,2417,25476,28678,3996,27683,54,1,3,49273.3849,115366.2554,164639.6403,29997.4105,15662,58
Santa Clara,Alpha Public Schools Inc,1599,961,222,416,29894,4986,1789,98098,14660,6928,73,18,59,76355.458,370313.2418,446668.6998,171251.4238,83017,30
Santa Clara,ACE Charter School,1127,904,133,90,17749,2280,1159,41128,6377,3251,92,11,27,44058.4059,156035.8455,200094.2514,60294.6196,29568,42
San Mateo,San Mateo Union High,9104,1302,344,7458,84944,14084,29735,112151,24470,100384,18,34,47,223952.9288,474516.5591,698469.4879,100719.8503,108242,72
Santa Clara,Mount Pleasant Elementary,2371,1455,326,590,128433,23809,33108,190016,41996,58284,75,52,79,339994.3582,770876.6452,1110871.0034,178703.007,104946,65
San Mateo,Cabrillo Unified,3279,1046,245,1988,75123,6807,11288,119845,15023,12527,39,38,62,182878.423,445244.8128,628123.2358,115263.3498,54177,60
Santa Clara,Franklin-McKinley Elementary,10735,6576,1497,2662,400116,67853,76568,819487,163796,189577,75,36,75,1039382.8899,3254898.5093,4294281.3992,1146492.3794,628323,47
San Mateo,Ravenswood City Elementary,3853,3110,318,425,354537,27953,54677,362157,30457,54038,88,68,70,855489.009,1306908.8794,2162397.8884,21509.4104,9485,97
Santa Clara,Alum Rock Union Elementary,11624,8089,1821,1714,619246,125601,159556,1084773,230446,263095,85,45,80,1659991.2237,4352093.9949,6012085.2186,1263144.5712,673911,56
Santa Clara,Moreland,4780,1095,280,3405,94026,21658,47567,133203,34881,135362,28,51,74,263780.0264,585561.2564,849341.2828,137669.69,140195,68
San Mateo,Jefferson Union High,4862,1263,441,3158,55344,10927,20194,78881,19770,40966,35,23,34,149507.5941,332026.6921,481534.2862,75160.678,53152,67
San Mateo,South San Francisco Unified,8879,2538,665,5676,91891,16858,22118,286769,78006,205090,36,20,68,242464.2279,1242370.6525,1484834.8804,602352.7246,438998,29
Santa Clara,Fremont Union High,10869,929,313,9627,62184,13534,62753,77971,21233,154257,11,36,47,182012.5478,368396.0584,550408.6062,76297.2706,114990,76
San Mateo,Summit Public Schools,1257,364,177,716,36588,15493,19778,49903,23696,33174,43,58,82,116556.5051,244940.7829,361497.288,49131.4978,34914,70
Santa Clara,Campbell Union,7465,2523,578,4364,79975,22481,17680,308734,73492,172534,41,20,74,225538.0976,1291970.6046,1517508.7022,649882.427,434624,26
San Mateo,Millbrae Elementary,2432,382,113,1937,24456,6778,33700,40304,13902,112814,20,37,64,76988.5014,209218.2626,286206.764,71737.0812,102086,57
Santa Clara,Mountain View Whisman ,5125,1432,327,3366,154343,22162,32471,189157,37583,109967,34,60,77,394097.2255,771175.824,1165273.0495,129223.5585,127731,77
Santa Clara,Saratoga Union Elementary,1906,22,0,1884,474,57,10733,2062,108,67251,1,14,60,4272.7501,28002.717,32275.4671,20008.7469,58157,24
Santa Clara,Luther Burbank,520,365,87,68,59733,14825,12928,59172,14725,12808,86,102,101,164604.1618,243204.2187,407808.3805,0,0,100
