CountyDesc,ProgramGroupYear,FnsReportDate,order,ProgramCode,Name,CDSCode,SiteName,MealTypeCode,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal
SAN MATEO,2017,Jul 2016,1,NSLP,Bayshore Elementary School District,,GARNET J ROBERTSON INTERMEDIATE,NSLP_BREAKFAST,40,16,0,56
SAN MATEO,2017,Jul 2016,1,NSLP,Cabrillo Unified School District,41688906043624,EL GRANADA ELEMENTARY,NSLP_BREAKFAST_SEVERENEED,"4,800",0,0,"4,800"
SAN MATEO,2017,Jul 2016,1,NSLP,Cabrillo Unified School District,41688906043624,EL GRANADA ELEMENTARY,NSLP_LUNCH,"8,553",0,0,"8,553"
SAN MATEO,2017,Jul 2016,1,NSLP,Cabrillo Unified School District,41688904132817,HALF MOON BAY HIGH,NSLP_BREAKFAST_SEVERENEED,"2,186",0,0,"2,186"
SAN MATEO,2017,Jul 2016,1,NSLP,Cabrillo Unified School District,41688904132817,HALF MOON BAY HIGH,NSLP_LUNCH,"3,575",0,0,"3,575"
SAN MATEO,2016,Jul 2016,1,SSFO,Jefferson Elementary School District,41689166043723,Benjamin Franklin Intermediate                                  ,SSFO_LUNCH,"1,041",0,0,"1,041"
SAN MATEO,2016,Jul 2016,1,SSFO,Jefferson Elementary School District,41689166043780,FERNANDO RIVERA INTERMEDIATE,SSFO_LUNCH,97,0,0,97
SAN MATEO,2016,Jul 2016,1,SSFO,Jefferson Elementary School District,41689166043855,Margaret Pauline Brown Elementary                               ,SSFO_LUNCH,401,0,0,401
SAN MATEO,2017,Jul 2016,1,NSLP,Millbrae Elementary School District,41689736044234,Meadows Elementary,NSLP_BREAKFAST,156,2,120,278
SAN MATEO,2017,Jul 2016,1,NSLP,PACIFICA SCHOOL DISTRICT,41689326043962,Linda Mar Educational Center,NSLP_BREAKFAST_SEVERENEED,73,42,21,136
SAN MATEO,2016,Jul 2016,1,SSFO,Ravenswood City Elementary School District,41689996044309,BELLE HAVEN ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"4,346",0,0,"4,346"
SAN MATEO,2016,Jul 2016,1,SSFO,Ravenswood City Elementary School District,41689996044309,BELLE HAVEN ELEMENTARY,SSFO_LUNCH,"4,137",0,0,"4,137"
SAN MATEO,2016,Jul 2016,1,SSFO,Ravenswood City Elementary School District,,Brentwood Open Site,SSFO_BREAKFAST_SEVERENEED,"2,734",0,0,"2,734"
SAN MATEO,2016,Jul 2016,1,SSFO,Ravenswood City Elementary School District,,Brentwood Open Site,SSFO_LUNCH,"2,915",0,0,"2,915"
SAN MATEO,2016,Jul 2016,1,SSFO,Ravenswood City Elementary School District,41689996044366,Cesar Chavez Elementary                                         ,SSFO_BREAKFAST_SEVERENEED,707,0,0,707
SAN MATEO,2016,Jul 2016,1,SSFO,Ravenswood City Elementary School District,41689996044366,Cesar Chavez Elementary                                         ,SSFO_LUNCH,"1,975",0,0,"1,975"
SAN MATEO,2017,Jul 2016,1,NSLP,Ravenswood City Elementary School District,,Ravenswood Child Development Center,NSLP_BREAKFAST_SEVERENEED,"1,502",282,852,"2,636"
SAN MATEO,2017,Jul 2016,1,NSLP,Ravenswood City Elementary School District,,Ravenswood Child Development Center,NSLP_LUNCH,"1,679",322,899,"2,900"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056114037,Adelante Spanish Immersion                                      ,SSFO_BREAKFAST_SEVERENEED,109,0,0,109
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056114037,Adelante Spanish Immersion                                      ,SSFO_LUNCH,251,0,0,251
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044457,FAIR OAKS ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,393,0,0,393
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044457,FAIR OAKS ELEMENTARY,SSFO_LUNCH,"1,418",0,0,"1,418"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044473,GARFIELD ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"1,135",0,0,"1,135"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044473,GARFIELD ELEMENTARY,SSFO_LUNCH,"2,513",0,0,"2,513"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044481,HAWES ELEMENTARY,SSFO_LUNCH,"1,211",0,0,"1,211"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044499,HENRY FORD ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"1,511",0,0,"1,511"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044499,HENRY FORD ELEMENTARY,SSFO_LUNCH,"1,766",0,0,"1,766"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044507,HOOVER ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"3,141",0,0,"3,141"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044507,HOOVER ELEMENTARY,SSFO_LUNCH,"4,427",0,0,"4,427"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044523,JOHN GILL ELEMENTARY,SSFO_LUNCH,777,0,0,777
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044572,ROOSEVELT ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"1,968",0,0,"1,968"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044572,ROOSEVELT ELEMENTARY,SSFO_LUNCH,"2,747",0,0,"2,747"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044580,SELBY LANE ELEMENTARY,SSFO_LUNCH,916,0,0,916
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044598,TAFT ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"2,899",0,0,"2,899"
SAN MATEO,2016,Jul 2016,1,SSFO,Redwood City Elementary School District,41690056044598,TAFT ELEMENTARY,SSFO_LUNCH,"3,810",0,0,"3,810"
